DBCODE,ENTITY,PLOTID,YEAR_BEGIN,YEAR_END,SPECIES,DELTA_TPH_NHA,DELTA_BA_M2HA,DELTA_VOL_M3HA,DELTA_BIO_MGHA,DELTA_JENKBIO_MGHA,MEAN_ANNUAL_NPP_BIO,MEAN_ANNUAL_NPP_JENKBIO
TP001,7,AB080006,1995,2002,ABAM,0,0,0,0,0,0,0
TP001,9,AB080006,1995,2002,ALL,0,2.9104,68.8725,27.878,25.4079,3.9826,25.4079
TP001,7,AB080006,1995,2002,TABR,0,0,0,0,0,0,0
TP001,7,AB080006,1995,2002,THPL,0,0.7008,9.7985,3.0669,4.0726,0.4381,0.5818
TP001,7,AB080006,1995,2002,TSHE,0,2.2096,59.074,24.8111,21.3353,3.5444,3.0479
TP001,7,AB080006,2002,2008,ABAM,0,0,0,0,0,0,0
TP001,9,AB080006,2002,2008,ALL,0,-1.4976,1.0461,2.6551,-3.0299,0.4425,-3.0299
TP001,7,AB080006,2002,2008,TABR,0,0,0,0,0,0,0
TP001,7,AB080006,2002,2008,THPL,0,-2.3616,-20.7077,-6.4815,-10.97,-1.0802,-1.8283
TP001,7,AB080006,2002,2008,TSHE,0,0.864,21.7538,9.1366,7.9401,1.5228,1.3234
TP001,7,AB080007,1978,1984,ABAM,0,0.0992,1.1914,0.4968,0.5513,0.0828,0.0919
TP001,9,AB080007,1978,1984,ALL,0,1.8688,36.4239,13.8138,15.11,2.3023,15.11
TP001,7,AB080007,1978,1984,PSME,0,0.2352,6.514,2.9248,3.279,0.4875,0.5465
TP001,7,AB080007,1978,1984,THPL,0,1.1808,15.6032,4.8838,6.6395,0.814,1.1066
TP001,7,AB080007,1978,1984,TSHE,0,0.3536,13.1153,5.5084,4.6402,0.9181,0.7734
TP001,7,AB080007,1984,1990,ABAM,0,0.3104,2.3742,0.99,1.1836,0.165,0.1973
TP001,9,AB080007,1984,1990,ALL,0,2.8384,46.8853,17.7769,19.7477,3.2063,20.0072
TP001,7,AB080007,1984,1990,PSME,0,0.2688,7.4038,3.3243,3.7274,0.554,0.6212
TP001,7,AB080007,1984,1990,THPL,0,1.4896,19.8366,6.2088,8.3924,1.0348,1.3987
TP001,7,AB080007,1984,1990,TSHE,0,0.7696,17.2708,7.2537,6.4443,1.4525,1.3336
TP001,7,AB080007,1990,1995,ABAM,0,0.0528,0.6366,0.2655,0.295,0.0531,0.059
TP001,9,AB080007,1990,1995,ALL,0,2.2384,42.8255,16.6151,18.0878,3.323,18.0878
TP001,7,AB080007,1990,1995,PSME,0,0.3904,10.836,4.8654,5.4562,0.9731,1.0912
TP001,7,AB080007,1990,1995,THPL,0,1.1328,15.7377,4.9259,6.5485,0.9852,1.3097
TP001,7,AB080007,1990,1995,TSHE,0,0.6624,15.6151,6.5583,5.7881,1.3117,1.1576
TP001,7,AB080007,1995,2002,ABAM,0,0.0416,0.4279,0.1784,0.2036,0.0255,0.0291
TP001,9,AB080007,1995,2002,ALL,0,2.7136,54.921,20.9077,22.6246,2.9868,22.6246
TP001,7,AB080007,1995,2002,PSME,0,0.3952,11.0041,4.9409,5.542,0.7058,0.7917
TP001,7,AB080007,1995,2002,THPL,0,1.6576,23.1493,7.2457,9.622,1.0351,1.3746
TP001,7,AB080007,1995,2002,TSHE,0,0.6192,20.3397,8.5427,7.2569,1.2204,1.0367
TP001,7,AB080007,2002,2008,ABAM,0,-0.6592,-6.2724,-2.6156,-3.0101,-0.4359,-0.5017
TP001,9,AB080007,2002,2008,ALL,0,-4.288,-86.4317,-38.077,-31.3894,-6.153,-31.1814
TP001,7,AB080007,2002,2008,PSME,0,0.4,11.173,5.0167,5.6282,0.8361,0.938
TP001,7,AB080007,2002,2008,THPL,0,1.5088,19.7995,6.1972,8.4382,1.0329,1.4064
TP001,7,AB080007,2002,2008,TSHE,0,-5.5376,-111.1317,-46.6753,-42.4457,-7.586,-6.8662
TP001,9,AB080008,1978,1984,ALL,0,2.4608,45.4454,17.8049,18.6771,2.9675,18.6771
TP001,7,AB080008,1978,1984,PSME,0,0.2912,7.3631,3.306,3.6926,0.551,0.6154
TP001,7,AB080008,1978,1984,THPL,0,1.0176,13.9787,4.3753,5.86,0.7292,0.9767
TP001,7,AB080008,1978,1984,TSHE,0,1.152,24.1036,10.1235,9.1245,1.6873,1.5207
TP001,9,AB080008,1984,1990,ALL,0,-1.3136,5.746,4.1776,-0.8537,0.6963,-0.8537
TP001,7,AB080008,1984,1990,PSME,0,0.2208,5.6081,2.5181,2.813,0.4197,0.4688
TP001,7,AB080008,1984,1990,THPL,0,-2.32,-14.9683,-4.6851,-9.4929,-0.7808,-1.5821
TP001,7,AB080008,1984,1990,TSHE,0,0.7856,15.1061,6.3446,5.8262,1.0574,0.971
TP001,9,AB080008,1990,1995,ALL,0,1.3312,24.694,9.7479,10.3607,3.8874,13.5968
TP001,7,AB080008,1990,1995,PSME,0,0.2224,5.682,2.5512,2.8506,0.5102,0.5701
TP001,7,AB080008,1990,1995,THPL,0,0.5392,7.3679,2.3062,3.0767,2.3991,3.8514
TP001,7,AB080008,1990,1995,TSHE,0,0.5696,11.6441,4.8905,4.4335,0.9781,0.8867
TP001,9,AB080008,1995,2002,ALL,0,3.3552,62.6049,24.3675,26.1178,3.4811,26.1178
TP001,7,AB080008,1995,2002,PSME,0,0.528,13.5468,6.0825,6.7982,0.8689,0.9712
TP001,7,AB080008,1995,2002,THPL,0,1.5248,21.6769,6.7849,8.9605,0.9693,1.2801
TP001,7,AB080008,1995,2002,TSHE,0,1.3024,27.3812,11.5001,10.3592,1.6429,1.4799
TP001,7,AB080008,2002,2008,ABAM,0,0.2832,2.0847,0.8693,1.0473,0.1449,0.1745
TP001,9,AB080008,2002,2008,ALL,0,1.4944,24.6732,10.0454,10.4544,1.6742,10.4544
TP001,7,AB080008,2002,2008,PSME,0,0.1776,4.6059,2.0681,2.312,0.3447,0.3853
TP001,7,AB080008,2002,2008,THPL,0,0.3376,4.1555,1.3007,1.7996,0.2168,0.2999
TP001,7,AB080008,2002,2008,TSHE,0,0.696,13.8271,5.8074,5.2955,0.9679,0.8826
TP001,7,AB080009,1978,1984,ABAM,0,0.0576,0.5835,0.2433,0.2771,0.0406,0.0462
TP001,9,AB080009,1978,1984,ALL,0,-4.0336,-91.5612,-40.4755,-33.3629,-6.7459,-33.3629
TP001,7,AB080009,1978,1984,PSME,0,0.2608,6.2817,2.8205,3.1443,0.4701,0.5241
TP001,7,AB080009,1978,1984,THPL,0,1.4832,20.5629,6.4362,8.5489,1.0727,1.4248
TP001,7,AB080009,1978,1984,TSHE,0,-5.8352,-118.9893,-49.9755,-45.3331,-8.3293,-7.5555
TP001,7,AB080009,1984,1990,ABAM,0,0.032,0.3435,0.1432,0.1622,0.0239,0.027
TP001,9,AB080009,1984,1990,ALL,0,3.112,61.8503,24.3529,25.5948,14.4847,34.9707
TP001,7,AB080009,1984,1990,PSME,0,0.5984,14.6357,6.5715,7.3292,1.0952,1.2215
TP001,7,AB080009,1984,1990,THPL,0,1.4,19.1365,5.9897,7.9933,0.9983,1.3322
TP001,7,AB080009,1984,1990,TSHE,0,1.0816,27.7345,11.6485,10.1102,12.3673,11.0609
TP001,7,AB080009,1990,1995,ABAM,0,0.0384,0.4185,0.1745,0.1967,0.0349,0.0393
TP001,9,AB080009,1990,1995,ALL,0,2.9088,55.0269,21.2107,22.96,4.2421,22.96
TP001,7,AB080009,1990,1995,PSME,0,0.5008,12.6308,5.6713,6.3334,1.1343,1.2667
TP001,7,AB080009,1990,1995,THPL,0,1.5392,21.1741,6.6275,8.8228,1.3255,1.7646
TP001,7,AB080009,1990,1995,TSHE,0,0.8304,20.8034,8.7374,7.6071,1.7475,1.5214
TP001,7,AB080009,1995,2002,ABAM,0,0.0592,0.681,0.284,0.3184,0.0406,0.0455
TP001,9,AB080009,1995,2002,ALL,0,3.7376,68.6267,26.0725,28.641,3.7246,28.641
TP001,7,AB080009,1995,2002,PSME,0,0.5664,14.4459,6.4862,7.2474,0.9266,1.0353
TP001,7,AB080009,1995,2002,THPL,0,2.1152,29.6043,9.2662,12.2533,1.3237,1.7505
TP001,7,AB080009,1995,2002,TSHE,0,0.9968,23.8955,10.0361,8.8218,1.4337,1.2603
TP001,7,AB080009,2002,2008,ABAM,0,0.048,0.5539,0.231,0.2576,0.0385,0.0429
TP001,9,AB080009,2002,2008,ALL,0,-18.336,-398.0663,-176.6025,-182.4806,-29.4337,-182.4806
TP001,7,AB080009,2002,2008,PSME,0,-12.7376,-271.5357,-121.9195,-135.2564,-20.3199,-22.5427
TP001,7,AB080009,2002,2008,THPL,0,1.0512,14.3781,4.5003,6.0213,0.7501,1.0036
TP001,7,AB080009,2002,2008,TSHE,0,-6.6976,-141.4626,-59.4143,-53.5031,-9.9024,-8.9172
TP001,7,AB080010,1978,1984,ABAM,0,0.0448,0.5087,0.2121,0.2379,0.0354,0.0397
TP001,9,AB080010,1978,1984,ALL,0,1.7184,24.0162,9.0103,9.9253,1.5017,9.9253
TP001,7,AB080010,1978,1984,THPL,0,0.7952,10.0463,3.1445,4.3483,0.5241,0.7247
TP001,7,AB080010,1978,1984,TSHE,0,0.8784,13.4611,5.6537,5.3391,0.9423,0.8898
TP001,7,AB080010,1984,1990,ABAM,0,0.0688,0.8002,0.3337,0.3721,0.0556,0.062
TP001,9,AB080010,1984,1990,ALL,0,1.8896,29.5994,11.2872,11.982,1.8812,11.982
TP001,7,AB080010,1984,1990,THPL,0,0.8336,10.6744,3.3411,4.5901,0.5568,0.765
TP001,7,AB080010,1984,1990,TSHE,0,0.9872,18.1248,7.6124,7.0198,1.2687,1.17
TP001,7,AB080010,1990,1995,ABAM,0,0.344,2.7948,1.1654,1.3778,0.2331,0.2756
TP001,9,AB080010,1990,1995,ALL,0,3.0816,41.9375,15.4043,17.4811,3.0809,17.4811
TP001,7,AB080010,1990,1995,THPL,0,1.576,20.5708,6.4387,8.7545,1.2877,1.7509
TP001,7,AB080010,1990,1995,TSHE,0,1.1616,18.5719,7.8002,7.3489,1.56,1.4698
TP001,7,AB080010,1995,2002,ABAM,0,0.3696,3.0985,1.2921,1.5185,0.1846,0.2169
TP001,9,AB080010,1995,2002,ALL,0,2.8064,43.3012,16.5475,17.555,2.3639,17.555
TP001,7,AB080010,1995,2002,THPL,0,1.1632,15.2306,4.7672,6.4839,0.681,0.9263
TP001,7,AB080010,1995,2002,TSHE,0,1.2736,24.9722,10.4883,9.5525,1.4983,1.3646
TP001,7,AB080010,2002,2008,ABAM,0,0.1616,1.8016,0.7513,0.8436,0.1252,0.1406
TP001,9,AB080010,2002,2008,ALL,0,2.2,35.3965,12.2299,14.4097,2.0383,14.4097
TP001,7,AB080010,2002,2008,THPL,0,1.8784,24.5904,7.6968,10.453,1.2828,1.7422
TP001,7,AB080010,2002,2008,TSHE,0,0.16,9.0045,3.7819,3.113,0.6303,0.5188
TP001,7,AB080011,1978,1984,ABPR,0,0.0448,0.7064,0.2614,0.3505,0.0436,0.0584
TP001,9,AB080011,1978,1984,ALL,0,1.6464,32.4449,12.9511,13.2798,2.1585,13.2798
TP001,7,AB080011,1978,1984,PSME,0,0.2176,5.2781,2.3699,2.6417,0.395,0.4403
TP001,7,AB080011,1978,1984,THPL,0,0.6096,7.4161,2.3213,3.266,0.3869,0.5443
TP001,7,AB080011,1978,1984,TSHE,0,0.7744,19.0444,7.9986,7.0216,1.3331,1.1703
TP001,7,AB080011,1984,1990,ABPR,0,-2.544,-28.3191,-10.4781,-15.9952,-1.7463,-2.6659
TP001,9,AB080011,1984,1990,ALL,0,-0.6368,8.792,4.034,-0.4337,0.6723,-0.4337
TP001,7,AB080011,1984,1990,PSME,0,0.3952,9.6294,4.3236,4.8204,0.7206,0.8034
TP001,7,AB080011,1984,1990,THPL,0,0.9056,12.653,3.9604,5.2653,0.6601,0.8775
TP001,7,AB080011,1984,1990,TSHE,0,0.6064,14.8286,6.228,5.4757,1.038,0.9126
TP001,7,AB080011,1990,1995,ABPR,0,0,0,0,0,0,0
TP001,9,AB080011,1990,1995,ALL,0,-3.5488,-76.3055,-33.7105,-28.0932,-4.6465,-24.8942
TP001,7,AB080011,1990,1995,PSME,0,0.1792,4.3377,1.9476,2.1718,0.3895,0.4344
TP001,7,AB080011,1990,1995,THPL,0,1.296,16.7102,5.2303,7.169,1.0461,1.4338
TP001,7,AB080011,1990,1995,TSHE,0,-5.024,-97.3533,-40.8884,-37.4339,-8.1777,-7.4868
TP001,9,AB080011,1995,2002,ALL,0,2.8752,53.0148,20.0469,21.6836,9.7045,27.9102
