DBCODE,ENTITY,TREEID,COMPONENT,YEAR_AGG,YEAR_RAW,BA_M2,VOL_M3,BIO_MG,JENKBIO_MG,SPECIES,TAG,TREE_STATUS,DBH,CHECK_NOTES
TP001,11,HR01001600006,VSW,1978,1978,0.1207,1.7423,0.731752566,0.709850567,TSHE,380,1,39.2,
TP001,11,HR01001600006,VSW,1984,1984,0.1359,2.0332,0.85395454,0.822631012,TSHE,380,1,41.6,
TP001,11,HR01001600006,VSW,1989,1989,0.1473,2.2563,0.947635864,0.908590001,TSHE,380,1,43.3,
TP001,11,HR01001600006,VSW,1995,1995,0.172,2.7614,1.15977847,1.101881641,TSHE,380,1,46.8,
TP001,11,HR01001600006,VSW,2000,2000,0.2067,3.5055,1.472302721,1.383796147,TSHE,380,1,51.3,
TP001,11,HR01001600006,VSW,2007,2007,0.2679,4.9097,2.062070185,1.908814503,TSHE,380,1,58.4,
TP001,11,HR01001600007,VSW,1978,1978,2.3642,58.9737,21.76129453,20.91983467,PISI,381,1,173.5,
TP001,11,HR01001600007,VSW,1984,1984,2.3751,59.2912,21.87847096,21.03249469,PISI,381,1,173.9,
TP001,11,HR01001600007,VSW,1989,1989,2.397,59.9293,22.11390278,21.25885232,PISI,381,1,174.7,
TP001,11,HR01001600007,VSW,1995,1995,2.397,59.9293,22.11390278,21.25885232,PISI,381,6,0.0,
TP001,11,HR01001600008,VSW,1978,1978,0.0299,0.2838,0.11919116,0.125510128,TSHE,382,1,19.5,
TP001,11,HR01001600008,VSW,1984,1984,0.0356,0.357,0.149933558,0.156252882,TSHE,382,1,21.3,
TP001,11,HR01001600008,VSW,1989,1989,0.0419,0.4408,0.185124658,0.191096905,TSHE,382,1,23.1,
TP001,11,HR01001600008,VSW,1995,1995,0.0419,0.4408,0.185124658,0.191096905,TSHE,382,6,0.0,
TP001,11,HR01001600009,VSW,1978,1978,0.3505,6.962,2.924048979,2.664325008,TSHE,383,1,66.8,
TP001,11,HR01001600009,VSW,1984,1984,0.3632,7.2917,3.062531102,2.784674918,TSHE,383,1,68.0,
TP001,11,HR01001600009,VSW,1989,1989,0.3859,7.8915,3.314436108,3.002974034,TSHE,383,1,70.1,
TP001,11,HR01001600009,VSW,1995,1995,0.3859,7.8915,3.314436108,3.002974034,TSHE,383,6,0.0,
TP001,11,HR01001600010,VSW,2007,2007,0.003,0.0144,0.006066244,0.007308489,TSHE,2512,2,6.2,
TP001,11,HR01001600011,VSW,2007,2007,0.0055,0.0318,0.013356188,0.015527213,TSHE,2705,2,8.4,
TP001,11,HR01001600012,VSW,2007,2007,0.0032,0.0157,0.00658801,0.007907549,TSHE,2712,2,6.4,
TP001,11,HR01001600013,VSW,2007,2007,0.0021,0.0165,0.00611693,0.005858341,PISI,2713,2,5.2,
TP001,11,HR02000100001,VSW,1978,1978,3.0636,79.7764,29.43749283,28.30031177,PISI,385,1,197.5,
TP001,11,HR02000100001,VSW,1984,1984,3.1196,81.4822,30.06694908,28.90553058,PISI,385,1,199.3,
TP001,11,HR02000100001,VSW,1989,1989,3.151,82.4389,30.41993735,29.24492762,PISI,385,1,200.3,
TP001,11,HR02000100001,VSW,1995,1995,3.1573,82.6309,30.49081751,29.31307871,PISI,385,1,200.5,
TP001,11,HR02000100001,VSW,2000,2000,3.2175,84.4685,31.16888357,29.96503856,PISI,385,1,202.4,
TP001,11,HR02000100001,VSW,2007,2007,3.32,87.6157,32.33018836,31.08163621,PISI,385,1,205.6,
TP001,11,HR02000100002,VSW,1978,1978,0.1548,2.4083,1.011478593,0.96694771,TSHE,386,1,44.4,
TP001,11,HR02000100002,VSW,1984,1984,0.1521,2.3523,0.987966584,0.945475672,TSHE,386,1,44.0,
TP001,11,HR02000100002,VSW,1989,1989,0.1612,2.5372,1.065630671,1.016316475,TSHE,386,1,45.3,
TP001,11,HR02000100002,VSW,1995,1995,0.181,2.9492,1.238656672,1.173326538,TSHE,386,1,48.0,
TP001,11,HR02000100002,VSW,2000,2000,0.1971,3.2963,1.384463022,1.304860907,TSHE,386,1,50.1,
TP001,11,HR02000100002,VSW,2007,2007,0.2256,3.9287,1.650058975,1.542895088,TSHE,386,1,53.6,
TP001,11,HR02000100003,VSW,1978,1978,1.7437,41.3507,15.29974095,14.6677131,PISI,387,1,149.0,
TP001,11,HR02000100003,VSW,1984,1984,1.7601,41.8051,15.46788512,14.82893214,PISI,387,1,149.7,
TP001,11,HR02000100003,VSW,1989,1989,1.7766,42.2624,15.59481746,14.99115868,PISI,387,1,150.4,
TP001,11,HR02000100003,VSW,1995,1995,1.8098,43.1855,15.93544196,15.31864055,PISI,387,1,151.8,
TP001,11,HR02000100003,VSW,2000,2000,1.8602,44.5915,16.45427696,15.81745858,PISI,387,1,153.9,
TP001,11,HR02000100003,VSW,2007,2007,1.9212,46.299,17.0843492,16.42322496,PISI,387,1,156.4,
TP001,11,HR02000100004,VSW,1978,1978,1.6241,38.0632,14.083397,13.50147208,PISI,388,1,143.8,
TP001,11,HR02000100004,VSW,1984,1984,1.7157,40.5782,15.01393321,14.39367709,PISI,388,1,147.8,
TP001,11,HR02000100004,VSW,1989,1989,1.7484,41.4802,15.34767503,14.71367297,PISI,388,1,149.2,
TP001,11,HR02000100004,VSW,1995,1995,1.8675,44.7945,16.52917208,15.88946437,PISI,388,1,154.2,
TP001,11,HR02000100004,VSW,2000,2000,1.9113,46.0234,16.98262833,16.32542791,PISI,388,1,156.0,
TP001,11,HR02000100004,VSW,2007,2007,1.9856,48.1138,17.75400899,17.06705491,PISI,388,1,159.0,
TP001,11,HR02000100005,VSW,1978,1978,1.7203,40.7064,15.06135412,14.4391448,PISI,389,1,148.0,
TP001,11,HR02000100005,VSW,1984,1984,1.7813,42.3936,15.64322082,15.0376944,PISI,389,1,150.6,
TP001,11,HR02000100005,VSW,1989,1989,1.8337,43.8518,16.18132213,15.55503425,PISI,389,1,152.8,
TP001,11,HR02000100005,VSW,1995,1995,1.8796,45.134,16.65442922,16.00988939,PISI,389,1,154.7,
TP001,11,HR02000100005,VSW,2000,2000,1.9212,46.299,17.0843492,16.42322496,PISI,389,1,156.4,
