DBCODE,ENTITY,STANDID,PLOTID,SPECIES,YEAR,PORTION,TPH_NHA,BA_M2HA,VOL_M3HA,BIO_MGHA,JENKBIO_MGHA
TP001,8,CH41,CH410001,TSHE,1978,MORTALITY,3,0.099,1.029,0.432,0.447
TP001,8,CH41,CH410001,ALL,1983,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,1983,LIVE,262,84.436,1549.643,693.192,759.949
TP001,8,CH41,CH410001,ALL,1983,MORTALITY,20,2.933,43.226,19.087,21.206
TP001,8,CH41,CH410001,ALRU,1983,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALRU,1983,LIVE,3,0.466,6.09,2.253,2.933
TP001,8,CH41,CH410001,ALRU,1983,MORTALITY,3,0.338,4.069,1.505,1.996
TP001,8,CH41,CH410001,PISI,1983,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PISI,1983,LIVE,5,0.126,1.478,0.547,0.524
TP001,8,CH41,CH410001,PISI,1983,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1983,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1983,LIVE,220,79.709,1473.103,661.423,729.294
TP001,8,CH41,CH410001,PSME,1983,MORTALITY,18,2.596,39.158,17.582,19.21
TP001,8,CH41,CH410001,TSHE,1983,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,TSHE,1983,LIVE,35,4.135,68.971,28.968,27.198
TP001,8,CH41,CH410001,TSHE,1983,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,1989,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,1989,LIVE,250,85.342,1586.347,709.85,777.474
TP001,8,CH41,CH410001,ALL,1989,MORTALITY,13,2.192,32.737,14.218,16.018
TP001,8,CH41,CH410001,ALRU,1989,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALRU,1989,LIVE,0,0,0,0,0
TP001,8,CH41,CH410001,ALRU,1989,MORTALITY,3,0.466,6.09,2.253,2.933
TP001,8,CH41,CH410001,PISI,1989,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PISI,1989,LIVE,5,0.143,1.711,0.633,0.607
TP001,8,CH41,CH410001,PISI,1989,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1989,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1989,LIVE,211,80.555,1505.873,676.137,745.891
TP001,8,CH41,CH410001,PSME,1989,MORTALITY,10,1.726,26.647,11.965,13.085
TP001,8,CH41,CH410001,TSHE,1989,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,TSHE,1989,LIVE,35,4.645,78.762,33.08,30.976
TP001,8,CH41,CH410001,TSHE,1989,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,1994,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,1994,LIVE,240,87.057,1639.031,733.318,803.303
TP001,8,CH41,CH410001,ALL,1994,MORTALITY,10,1.661,25.678,11.529,12.611
TP001,8,CH41,CH410001,PISI,1994,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PISI,1994,LIVE,5,0.149,1.797,0.665,0.637
TP001,8,CH41,CH410001,PISI,1994,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1994,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1994,LIVE,201,81.949,1552.224,696.949,769.295
TP001,8,CH41,CH410001,PSME,1994,MORTALITY,10,1.661,25.678,11.529,12.611
TP001,8,CH41,CH410001,TSHE,1994,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,TSHE,1994,LIVE,35,4.959,85.01,35.704,33.371
TP001,8,CH41,CH410001,TSHE,1994,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,1999,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,1999,LIVE,235,89.065,1694.541,757.757,829.005
TP001,8,CH41,CH410001,ALL,1999,MORTALITY,5,0.915,14.369,6.452,7.061
TP001,8,CH41,CH410001,PISI,1999,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PISI,1999,LIVE,5,0.155,1.88,0.696,0.667
TP001,8,CH41,CH410001,PISI,1999,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1999,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1999,LIVE,196,83.278,1591.162,714.432,788.895
TP001,8,CH41,CH410001,PSME,1999,MORTALITY,5,0.915,14.369,6.452,7.061
TP001,8,CH41,CH410001,TSHE,1999,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,TSHE,1999,LIVE,35,5.633,101.498,42.629,39.443
TP001,8,CH41,CH410001,TSHE,1999,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,2004,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,2004,LIVE,230,91.374,1757.309,785.628,859.168
TP001,8,CH41,CH410001,ALL,2004,MORTALITY,5,0.925,14.448,6.487,7.098
TP001,8,CH41,CH410001,PISI,2004,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PISI,2004,LIVE,5,0.158,1.935,0.716,0.686
TP001,8,CH41,CH410001,PISI,2004,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,2004,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,2004,LIVE,191,85.127,1643.254,737.821,815.093
TP001,8,CH41,CH410001,PSME,2004,MORTALITY,5,0.925,14.448,6.487,7.098
TP001,8,CH41,CH410001,TSHE,2004,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,TSHE,2004,LIVE,35,6.088,112.12,47.091,43.389
TP001,8,CH41,CH410001,TSHE,2004,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,2009,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,2009,LIVE,218,92.659,1803.112,805.883,880.918
TP001,8,CH41,CH410001,ALL,2009,MORTALITY,13,2.271,39.445,17.7,19.475
TP001,8,CH41,CH410001,PISI,2009,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PISI,2009,LIVE,5,0.165,2.025,0.749,0.718
TP001,8,CH41,CH410001,PISI,2009,MORTALITY,0,0,0,0,0
