DBCODE,ENTITY,STANDID,SPECIES,YEAR_AGG,PORTION,TPH_NHA,BA_M2HA,VOL_M3HA,BIO_MGHA,JENKBIO_MGHA,NO_PLOTS
TP001,6,HR02,PSME,1995,INGROWTH,0,0,0,0,0,16
TP001,6,HR02,PSME,1995,LIVE,1,1.815,45.851,20.587,23.051,16
TP001,6,HR02,PSME,1995,MORTALITY,0,0,0,0,0,16
TP001,6,HR02,ALL,1995,INGROWTH,43,0.168,1.431,0.535,0.52,16
TP001,6,HR02,ALL,1995,LIVE,180,91.607,2210.075,829.798,797.601,16
TP001,6,HR02,ALL,1995,MORTALITY,27,12.315,287.584,107.349,102.813,16
TP001,6,HR02,PISI,2000,INGROWTH,25,0.104,0.946,0.35,0.335,16
TP001,6,HR02,PISI,2000,LIVE,139,80.978,2024.029,747.054,717.991,16
TP001,6,HR02,PISI,2000,MORTALITY,5,0.018,0.161,0.06,0.057,16
TP001,6,HR02,THPL,2000,INGROWTH,0,0,0,0,0,16
TP001,6,HR02,THPL,2000,LIVE,1,0.289,2.813,0.881,1.398,16
TP001,6,HR02,THPL,2000,MORTALITY,0,0,0,0,0,16
TP001,6,HR02,TSHE,2000,INGROWTH,2,0.006,0.028,0.012,0.014,16
TP001,6,HR02,TSHE,2000,LIVE,59,11.639,220.685,92.688,84.914,16
TP001,6,HR02,TSHE,2000,MORTALITY,2,0.284,4.661,1.958,1.847,16
TP001,6,HR02,PSME,2000,INGROWTH,0,0,0,0,0,16
TP001,6,HR02,PSME,2000,LIVE,0,0,0,0,0,16
TP001,6,HR02,PSME,2000,MORTALITY,1,1.815,45.851,20.587,23.051,16
TP001,6,HR02,ALL,2000,INGROWTH,27,0.11,0.975,0.362,0.35,16
TP001,6,HR02,ALL,2000,LIVE,199,92.907,2247.527,840.622,804.302,16
TP001,6,HR02,ALL,2000,MORTALITY,8,2.117,50.673,22.604,24.955,16
TP001,6,HR02,PISI,2007,INGROWTH,46,3.411,86.231,31.821,30.59,16
